,id,threadId,from,subject,date,labelIds,snippet,content
28,1978d83b9325bcfc,1978d83b9325bcfc,NPTEL <onlinecourses@nptel.iitm.ac.in>,NPTEL Newsletter: IIT Madras CODE Certificate Program on Quantum Computing | Registrations now open,2025-06-20 18:01:50+05:30,"['CATEGORY_PROMOTIONS', 'UNREAD', 'Label_4123923793743583737']","Thanks and Regards, NPTEL TEAM. -- To unsubscribe from this group and stop receiving emails from it: Log in to Google Groups and click on My Groups seen in the left navigation pane. You will see the","<https://code.iitm.ac.in/quantum-computing>

Thanks and Regards,
NPTEL TEAM.

-- 
To unsubscribe from this group and stop receiving emails from it:
Log in to Google Groups and click on My Groups seen in the left navigation pane. You will see the list of your groups. Choose the group ""NPTEL Newsletter""
Click the Leave Group icon on the right side to leave the group or you can choose the ""No email"" option under Subscription to stop receiving these emails.
To unsubscribe from this group and stop receiving emails from it, send an email to newsletter-announce+unsubscribe@nptel.iitm.ac.in.
"
44,1978728c925a6f89,1978728c925a6f89,NPTEL <onlinecourses@nptel.iitm.ac.in>,NPTEL Newsletter: IIT Madras CODE invites applications for the Certificate Program in Construction Technology & Management,2025-06-19 12:27:20+05:30,"['CATEGORY_PROMOTIONS', 'UNREAD', 'Label_4123923793743583737']","Thanks and Regards, NPTEL TEAM. -- To unsubscribe from this group and stop receiving emails from it: Log in to Google Groups and click on My Groups seen in the left navigation pane. You will see the","<https://code.iitm.ac.in/construction-technology-and-management-cohort-4>

Thanks and Regards,
NPTEL TEAM.

-- 
To unsubscribe from this group and stop receiving emails from it:
Log in to Google Groups and click on My Groups seen in the left navigation pane. You will see the list of your groups. Choose the group ""NPTEL Newsletter""
Click the Leave Group icon on the right side to leave the group or you can choose the ""No email"" option under Subscription to stop receiving these emails.
To unsubscribe from this group and stop receiving emails from it, send an email to newsletter-announce+unsubscribe@nptel.iitm.ac.in.
"
62,19778ea4f4e7b835,19778ea4f4e7b835,NPTEL <onlinecourses@nptel.iitm.ac.in>,NPTEL Newsletter: June 2025: Vol 6: Week 3!,2025-06-16 18:01:22+05:30,"['CATEGORY_PROMOTIONS', 'UNREAD', 'Label_4123923793743583737']","Learning Beyond Limits: The Story of Prof. Koneru📘 Meet Prof. Koneru Gopal Krishna, an NPTEL STAR whose story redefines lifelong learning. From being laid off in 2009 to becoming an educator and"," NPTEL NEW

<https://nptel.ac.in/>
­

*Learning Beyond Limits: The Story of Prof. Koneru📘*

Meet Prof. Koneru Gopal Krishna, an NPTEL STAR whose story redefines
lifelong learning. From being laid off in 2009 to becoming an educator and
completing over 100 NPTEL courses, his passion for curiosity-led learning
inspires us all!

*Read More*
<https://stories.nptel.ac.in/index.php/2025/06/11/a-professors-pursuit/>
<https://stories.nptel.ac.in/index.php/2025/06/11/a-professors-pursuit/>
­

*Decode Life’s Mysteries with Biosciences & Bioengineering**🔬*

Step into the world of cells, genes, and innovation! Curious about life
processes or aspire to contribute to healthcare and biotechnology?

|

NPTEL’s courses in Biosciences & Bioengineering offers you the launchpad to
start your scientific exploration today.

*Explore & Enroll Today* <https://onlinecourses.nptel.ac.in/>
<https://onlinecourses.nptel.ac.in/>

CODE Programs

*Foundations to ML*

CODE IIT Madras has launched a 2-month executive certificate course,
designed for managers with a team of ML engineers, offering a high-level
overview of machine learning and deep learning, with a focus on deployment
and responsible AI.

*Register now – final hours to claim your fee waiver*
<https://code.iitm.ac.in/foundations-to-ml>


<https://code.iitm.ac.in/foundations-to-ml>
­

*Battery Pack Design and Development : Fundamentals*

Get knowledge of battery pack design -from basic cell chemistry to BMS and
thermal systems. Designed for engineers, researchers, students, and EV
professionals. Ideal for anyone looking to master EV battery technology
through online mode of learning from CODE IIT Madras.

*Register before 20th June, 2025 with Fee Waiver*
<https://code.iitm.ac.in/battery-pack-design-and-development-fundamentals>


<https://code.iitm.ac.in/battery-pack-design-and-development-fundamentals>
­

*NPTEL+ WORKSHOPS:*

*1. Career Development : Grow Your Team*

*Register Now*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/career-development-grow-your-team/?v=c86ee0d9d7ed>*
- *

*Rs. 250 onwards*

-

*2. Career Development : Grow Your Self*

*Register Now*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/career-management-on-know-yourself/?v=c86ee0d9d7ed>*
- *

*Rs. 250 onwards*

-

*3. Career Development : Grow Your AI Skills*

*Register Now*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/career-development-grow-your-ai-skills/?v=c86ee0d9d7ed>*
- *

*Rs. 250 onwards*

-

*4. **Building an Innovation Mindset – Batch 2*

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/building-an-innovation-mindset-batch-2/?v=c86ee0d9d7ed>*
- *

*Rs. 1,200*

*Last Day to register:*

*June 25, 2025*

*5. Surface Productions Operations of Upstream Petroleum Engineering*

*Early Bird Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/surface-productions-operations-of-upstream-petroleum-engineering/?v=c86ee0d9d7ed>*
- *

*Rs. 1062 onwards*

*Last Day to register:*

*June 25, 2025*

*6. Digital System Design and Testing*

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/digital-system-design-and-testing/?v=c86ee0d9d7ed>*
- *

*Rs. 1500 onwards*

*Last Day to register:*

*June 25, 2025*
7. Karmic Design Thinking for Human-Centered Products and Services

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/karmic-design-thinking-for-human-centered-products-and-services/?v=c86ee0d9d7ed>*
- *

*Rs. 1,950*

*Last day to register: June 26, 2025*
8. 21st Century Food Tech Innovations for Nutrition and Health Security – 2

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/21st-century-food-tech-innovations-for-nutrition-and-health-security-2/?v=c86ee0d9d7ed>*
- *

*Rs. 500 onwards*

*Last day to register: July 2, 2025*
9. High-Rise Structures

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/high-rise-structures/?v=c86ee0d9d7ed>*
- *

*Rs. 1000*

*Last day to register: July 9, 2025*
10. Career Development : Grow Your Communication

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/career-development-grow-your-communication/?v=c86ee0d9d7ed>*
- *

*Rs. 250 onwards*

*Last day to register: July 15, 2025*
­

Follow Us:
<https://www.facebook.com/NPTELNoc/> ­
<https://twitter.com/nptel_official?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor>
­

<https://www.youtube.com/user/nptelhrd> ­
<https://www.instagram.com/nptel_india/> ­

*NPTEL Administrator,*
IC & SR, 3rd floor
IIT Madras, Chennai - 600036

Thanks and Regards,
NPTEL TEAM.

-- 
To unsubscribe from this group and stop receiving emails from it:
Log in to Google Groups and click on My Groups seen in the left navigation pane. You will see the list of your groups. Choose the group ""NPTEL Newsletter""
Click the Leave Group icon on the right side to leave the group or you can choose the ""No email"" option under Subscription to stop receiving these emails.
To unsubscribe from this group and stop receiving emails from it, send an email to newsletter-announce+unsubscribe@nptel.iitm.ac.in.
"
77,1975f13fe73acc13,1975f13fe73acc13,NAMTECH <info@namtech.ac>,Webinar Joining Details | NAMTECH,2025-06-11 13:00:32+00:00,"['CATEGORY_PROMOTIONS', 'IMPORTANT', 'TRASH']","Dear Anand Chaniyara, Join us for webinar on Careers in Manufacturing, Engineering &amp; Technology (MET) - 170 Million+ Jobs Emerging Globally. 📅 Date: 11th June 2025 (Today) 🕒 Time: 7:00 PM 📍",
79,1975e37b0b7f6821,1975e37b0b7f6821,NPTEL <onlinecourses@nptel.iitm.ac.in>,NPTEL Newsletter: Digital Transformation executive program by IIT Madras | Register Today to avail Discounted price!,2025-06-11 13:40:17+05:30,"['CATEGORY_PROMOTIONS', 'Label_4123923793743583737']","Thanks and Regards, NPTEL TEAM. -- To unsubscribe from this group and stop receiving emails from it: Log in to Google Groups and click on My Groups seen in the left navigation pane. You will see the","<https://code.iitm.ac.in/digital-transformation-fundamentals-for-industry>

Thanks and Regards,
NPTEL TEAM.

-- 
To unsubscribe from this group and stop receiving emails from it:
Log in to Google Groups and click on My Groups seen in the left navigation pane. You will see the list of your groups. Choose the group ""NPTEL Newsletter""
Click the Leave Group icon on the right side to leave the group or you can choose the ""No email"" option under Subscription to stop receiving these emails.
To unsubscribe from this group and stop receiving emails from it, send an email to newsletter-announce+unsubscribe@nptel.iitm.ac.in.
"
99,1974039b0d24348e,1974039b0d24348e,Cisco Networking Academy <netacademail@external.cisco.com>,Global Logistics Just Got a Tech Upgrade—Are You Ready?,2025-06-05 08:13:31-05:00,"['CATEGORY_PROMOTIONS', 'INBOX']","View online SPT_H_WL_05 (1).jpg What if Containers Could Think? Meet Container 42—not just a box, but a fully connected device powered by IoT, AI, real-time analytics, and cybersecurity. In this video,","What if Containers Could Think?
Meet Container 42—not just a box, but a fully connected device powered by IoT, AI, real-time analytics, and cybersecurity.

In this video, you’ll explore how Cisco is turning everyday objects into intelligent systems—and why that matters for the future of IT, logistics, and your career. 

Whether you’re into data, networks, security, or automation, this is a glimpse into how your skills can make a global impact.
Remember to share your favorite moments. Engage with us by using the official event hashtag #FindYourself.

 <[[${FacebookLink}]]>
 <[[${YoutubeLink}]]>
 <[[${TwitterLink}]]>
 <[[${LinkedInLink}]]>
 
Join our feeds to be the first to hear about updates and opportunities, and share your own innovative ideas.

Please do not reply to this email.

 To unsubscribe, log in to Cisco Networking Academy <http://nsmail.netacad.com/MDU5LVZGWi04MzQAAAGa3zJe0q476pTMxFPLKICi7OegU1AMnb8h3MQykXsVJGBpe1ym6dr6SqtJB1CGSIO_ajjHLF4=>, click on your name (top right corner), and update your Notification and Email Preferences. If you are no longer part of the Networking Academy program and need to have your account deleted, log in, go to help, and submit a request for deletion. If you do not have a Cisco Networking Academy account, unsubscribe here <http://nsmail.netacad.com/MDU5LVZGWi04MzQAAAGa3zJe0m316Dfxz03ov4Fi0BYiK_22KvkRTCz-hIO9S8qMZDqBZ4jwjCGb-i-8YiM56h-yRl0=>.

© 2021 Cisco Systems, Inc. and/or its affiliates. All rights reserved. 170 W Tasman, San Jose, CA 95134.

Cisco.com <http://nsmail.netacad.com/MDU5LVZGWi04MzQAAAGa3zJe0dp9nKY0d4p9-FNAp_K8fx3WiQKj4D9iAMvpVxzmmfp6po_z9OTNCZflBnefp6A1pZ4=> | Privacy Statement <http://nsmail.netacad.com/MDU5LVZGWi04MzQAAAGa3zJe0VqEHx5EyhCQVi8_G-Hcz9oI9-slv7i7p0rvY-bWQtsIBH70tiXy1uWZ7j5cJEEZwpU=> | Trademarks <http://nsmail.netacad.com/MDU5LVZGWi04MzQAAAGa3zJe0Wse_zhpAkU_4_8pXgEKqCq8s8Tgq9KF4Vi5SUcnGkOLkEav0CZD5eGxUhIDb4Q9hvc=>

.
"
108,19739f9767f15105,19739f9767f15105,Kari Briski <karibriski-gtc@nvidia.com>,You’re invited to GTC Paris—explore the impact of agentic AI across industries,2025-06-04 03:05:39-05:00,"['CATEGORY_PROMOTIONS', 'INBOX']","Hi Anand, I&#39;m thrilled to invite you to NVIDIA GTC Paris, taking place at VivaTech 2025 on June 10–12. Join me and thousands of industry leaders to explore how AI agents are helping solve our","Hi  Anand,
I’m thrilled to invite you to NVIDIA GTC Paris <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxZBG3OY2_b1H-zY_1NGxS7m4d5G7Jr4pEeMOUqkQa3jfGoSdS2Jd3UlIwLQndtEMLOM=>, taking place at VivaTech 2025 on June 10–12. Join me and thousands of industry leaders to explore how AI agents are helping solve our largest, most complex challenges.

Don’t miss the chance to hear directly from NVIDIA CEO Jensen Huang in his must-see keynote <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxUZzGGSXQ2FVu_a9lY5-LJ2b01NTyDqsDDw4qHJXIPGlJAxlg0gg2S9nns2arpKTHEY=> at VivaTech Paris, and explore the latest in AI and advanced technologies with hands-on workshops, certifications, demos, and expert-led sessions <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxVgcM394F6hUKSgOR7Lt-nm3ZdElP_t_NTMKgQukY-nKQxfsBzAlKTc4yqj4lhCB4BA=>, featuring industry leaders such as Vincent Van Steenbergen, CEO and Founder, ThinkDeepAI; Asmita Dubey, Chief Digital and Marketing Officer, L’Oréal; Aude Gandon, Global CMO, Nestlé; and Philipp Lorenz, CTO, Basecamp Research. 

Browse through our hand-picked lineup of agentic AI sessions <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxctkU6gyhxTRt6SWjhpKzyR_PgPzMDScpb6EGikunrkVSsLWSscOgCF-FrgUzXnHIJQ=>, and check out more of my personal top picks:



	- Shaping the AI Future: From Sovereign AI to Scalable AI Factories [GP1126 <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxV_A7PbRofe0wPHSnXxqrTs4AUPgjIwt3_daVA9MZr4vZz7pwypLk7b3FNqVB5gBsGU=>]
	- Building and Customizing AI Models for European Applications [GP1046 <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxUxheAyVD20Aid9lTkxXoUBDdfCW8AFKfsFf2YKY4YT9WzAT7wcFcuhNPCKKfGeFBTQ=>]
	- AI-Powered Personalized Marketing and Advertisement [GP1076 <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxeKJ2sjoPWWgvahcAh_K3Q4DOJHT3fAVyLi84426IEUlSXtGBXQxKENb9jDtaEW0Sk4=>]
	- Breaking the Drug Discovery Data Bottleneck With AI [GP1014 <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxUh8dS7stL6Gc9hNqaKJdYt5EzspjykRkVJ7mGRhj94WBfiMKQWE1QXCB4XsvGfoL5M=>]
	- Leveraging Foundation Models for Next-Generation Autonomous Vehicles and Cabin AI [GP1041 <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxcCCVEDepW79WgVn-9KOg_iuiRC21seV3Muveh3E0yVJ6XfmcimBagyyZg1MKlYtN7w=>]
	- How to Build an Agentic AI System Using the Best Tools and Frameworks [GP1075 <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxeoZaRh0Gj6_KXaCl_5Vid7DM35Cs12yVYKKjZz6DErfpcU9WGBrzgCsZb2QV-qLW5k=>]


Register now <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxZBG3OY2_b1H-zY_1NGxS7m4d5G7Jr4pEeMOUqkQa3jfGoSdS2Jd3UlIwLQndtEMLOM=> to reserve your spot. GTC Paris is more than just a conference. It’s an opportunity to connect, learn, and share with the brightest minds in AI and beyond. I’m looking forward to seeing you there.
Best Regards,

Kari Briski
VP, Generative AI Software for Enterprise, NVIDIA
E: karibriski-gtc@nvidia.com <mailto:karibriski-gtc@nvidia.com>
2788 San Tomas Expressway, Santa Clara, CA 95051
 www.nvidia.com <https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2PIkxeJ6bNQxKCVl_YTzdyug5V89ozvTFcYCRrbaCdnYcWCOrKm-LRjkbO94NoWN027h5M4=> • opt-out <https://go.nvidianews.com/dc/M3tNI9WjhwgpWj9zFPExhge-BKR_acD5iJOXmz-jvcuAIOifcGCOyZHSdo_K9pWiaYBJSxgULBBmL9gSHFB5C6h1noHQiWL9P-hOKYI-X6WAhbAw01zP_3A1vawZmq_AxOiuC6ZrOc-4ce3rVDYdpesKU-TtBU6Ur-QufIKbtoPDq__LB5LLlrBLud0y9f8g1s5Z5dIdcl_OVe4YZMPsNy1pYLieR6FX327za8FAdIviyF5GSIJs3-6Ht5GrNrof6qBu0KY64YyRGqFxtZ_btSptkNOxvyyYU4XEyyWn16Q=/MTU2LU9GTi03NDIAAAGa2PIkxXvaiyZO1VZO0AbKYzC1w6t69WwPDAr7ZyK3ZTo6Q19aQiebHjwSUFYeAxtBB5JaHzU=>

-
"
111,197398d86a4dbdc7,197398d86a4dbdc7,NVIDIA <news@nvidia.com>,Live webinar: What’s New With NVIDIA Certification,2025-06-04 01:07:44-05:00,"['CATEGORY_PROMOTIONS', 'INBOX']",Join us on June 26 to learn how NVIDIA Certification can support your personal career or team goals﻿. ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏ ‍͏ ͏,"Join us on June 26 to learn how NVIDIA Certification can support your personal career or team goals﻿.
[ NVIDIA ] https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2IYyBlkbQrnLNFhfUPUalOMOoBUEY0FlrWtBg_EP4VVqXen7f5uZC5_nG9_7ovX3VTxx1A0=
[ A person viewing their NVIDIA Certified Professional certificate on a laptop. ] https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2IYyBmpfFwIy_Vn8KO_-cSmTzDd6HURHKloQZShNc1NKKDJLzwdMEC3_VvnPC2wQeNZdJFk=
What’s New With NVIDIA Certification

June 26, 2025, 2:00 p.m. IST

Register Now https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2IYyBmpfFwIy_Vn8KO_-cSmTzDd6HURHKloQZShNc1NKKDJLzwdMEC3_VvnPC2wQeNZdJFk=
Succeed With NVIDIA Certification: Tips, Insights, and Career Stories

Join us in this webinar on learning more about the latest NVIDIA Certifications. This webinar will provide practical prep tips from NVIDIA Certification experts, insights into how exams are built from our exam champions, and stories from certified professionals on why they chose to get certified with NVIDIA, the value it brought, and how it’s impacted their careers.
  &nbsp;
  By attending this webinar, you’ll learn:
   What the right exam is for you. Find the certification that aligns with your job role, skills, and career goals. An overview of available certifications, recently launched exams, and what’s coming next on the roadmap. What to expect before, during, and after the exam—from the structure to the grading process—and how to showcase your achievement.  Ask your questions in the live Q&A, and get expert answers during this interactive session. Secure your spot today!

Webinar Details

[ Image ]
Date:

Thursday, June 26, 2025

Time:

2:00 p.m. IST

[ Image ]
Presented By:&nbsp;

Marco Alves, Certification Program Lead, NVIDIA
  
Aeshah Hadges, Certification Manager, NVIDIA
  
Gary Fluitt, Technical Certification Manager, NVIDIA
  
Amlan Madhab Panigrahi, Senior AI Specialist, Deloitte
  
Marc Huppert, Principal Architect/Consultant, Computacenter
  
Ernest Namdar, NVIDIA Training Ambassador Ph.D. Candidate, University of Toronto

Register Now https://go.nvidianews.com/MTU2LU9GTi03NDIAAAGa2IYyBmpfFwIy_Vn8KO_-cSmTzDd6HURHKloQZShNc1NKKDJLzwdMEC3_VvnPC2wQeNZdJFk=
Follow Us







Privacy Center | Manage Preferences | Unsubscribe | Contact Us | View Online &lt;https://go.nvidianews.com/v/MTU2LU9GTi03NDIAAAGa2IYyBvWlhcNMohBkI8357K-B5hAQnPr9yRP9MqCRQe6SwYmJv5wVZ_juMEvJ0Paog3FQfmo=&gt;

© 2025 NVIDIA Corporation. All rights reserved.
NVIDIA Graphics Pvt Ltd, Bagmane Goldstone Building, North Tower,
Adj to World Technology Centre, Mahadevapura Village, K.R. Puram Hobli,
Marathahalli Outer Ring Road, Bangalore 560048, KA, India.


-
"
120,197307cd4785431e,197307cd4785431e,NPTEL <onlinecourses@nptel.iitm.ac.in>,NPTEL Newsletter: June 2025: Vol 6: Week 1!,2025-06-02 16:28:25+05:30,"['CATEGORY_PROMOTIONS', 'INBOX']",Advance Your Medical Knowledge with Biomedical Engineering! Dive into healthcare with our courses on Statistics for Biomedical Engineers and Biomedical Instrumentation from IIT Madras! 🏥 These courses," NPTEL NEW

<https://nptel.ac.in/>
­

*Advance Your Medical Knowledge with Biomedical Engineering! *

Dive into healthcare with our courses on *Statistics for Biomedical
Engineers* and *Biomedical Instrumentation* from *IIT Madras*! 🏥 These
courses are perfect for learners aiming to master data analysis or enhance
medical technology skills.

|

Don’t miss out - enroll today!

*Know More * <https://onlinecourses.nptel.ac.in/>
<https://onlinecourses.nptel.ac.in/>
­

*Celebrating Our Learners’ Commitment*

Our learners deserve a round of applause for their dedication and hard
work. They’ve shown how consistency in NPTEL courses leads to skill
enhancement and professional development.

*Watch* <https://youtu.be/OlNBH7nA8CY?si=a7cvpEJvFBqdbWE_>

<https://youtu.be/OlNBH7nA8CY?si=a7cvpEJvFBqdbWE_>

CODE Programs

*Sustainability for Indian Businesses - Cohort 3*

Registrations for this highly sought after executive certification program
are closing Today (June 2, 2025).

*|*

Last few hours left!

*Apply Now* <https://code.iitm.ac.in/sustainability-for-indian-businesses>


<https://code.iitm.ac.in/sustainability-for-indian-businesses>
­

*Electric Vehicle Engineering & Development (EVEND) - Cohort 2*

Last day left to register for the Electric Vehicle Engineering &
Development executive program.

*|*

Learn from experts at IIT Madras

*Know More & Apply* <https://code.iitm.ac.in/EVEND-cohort2>


<https://code.iitm.ac.in/EVEND-cohort2>
­

NPTEL Self Paced Courses

NPTEL self-paced courses allow you to progress through the material at your
own pace. You can watch video lectures and complete assignments as per your
convenience, without being tied to a specific schedule.

|

Below are the courses offered in *Agricultural and Food Engineering* domain
as a part of NPTEL self-paced learning

   - *Dairy and Food process and products technology*
   <https://elearn.nptel.ac.in/shop/nptel/dairy-and-food-process-and-products-technology/?v=c86ee0d9d7ed>
   - *Organic Farming for Sustainable Agricultural Production*
   <https://elearn.nptel.ac.in/shop/nptel/organic-farming-for-sustainable-agricultural-production/?v=c86ee0d9d7ed>
   - *Food Oils and Fats : Chemistry and Technology*
   <https://elearn.nptel.ac.in/shop/nptel/food-oils-and-fats-chemistry-and-technology/?v=c86ee0d9d7ed>
   - *Novel Technologies for Food Processing and Shelf Life Extension*
   <https://elearn.nptel.ac.in/shop/nptel/novel-technologies-for-food-processing-and-shelf-life-extension/?v=c86ee0d9d7ed>
   - *Post Harvest Operations and Processing of Fruits, Vegetables, Spices
   and Plantation Crop Products*
   <https://elearn.nptel.ac.in/shop/nptel/post-harvest-operations-and-processing-of-fruits-vegetables-spices-and-plantation-crop-products/?v=c86ee0d9d7ed>

­

*NPTEL+ WORKSHOPS:*

*1. Career Development : Grow Your Team*

*Register Now*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/career-development-grow-your-team/?v=c86ee0d9d7ed>*
- *

*Rs. 250 onwards*

-

*2. Career Development : Grow Your Self*

*Register Now*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/career-management-on-know-yourself/?v=c86ee0d9d7ed>*
- *

*Rs. 250 onwards*

-
3. Microcontroller lab based on Pt-51 board (8051-architecture)

*Registrations Open* <https://internalapp.nptel.ac.in/Lab_Form/main.php>* -
*

*Rs. 1,000 onwards*

*Last day to register: June 5, 2025*
4. Additive Manufacturing and Joining : A paradigm shift for the future –
Batch 2

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/additive-manufacturing-and-joining-a-paradigm-shift-for-the-future-batch-2/?v=c86ee0d9d7ed>*
- *

*Rs. 500 onwards*

*Last day to register: June 4, 2025*
5. Surface Engineering of Nanomaterials

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/surface-engineering-of-nanomaterials-2/?v=c86ee0d9d7ed>*
- *

*Rs. 500 onwards*

*Last day to register: June 4, 2025*
6. Digital System Design and Verification using CPLD board

*Registrations Open* <https://internalapp.nptel.ac.in/Lab_Form/main.php>* -
*

*Rs. 1000*

*Last day to register: June 5, 2025*
7. Hands-on programming sessions for Quantum Computers

*Registrations Open* <https://internalapp.nptel.ac.in/Lab_Form/main.php>* -
*

*Rs. 1,000*

*Last day to register: June 10, 2025*
8. Introduction to Hydrodynamic Stability

*Early Bird Registrations Open*
<https://elearn.nptel.ac.in/shop/masterclasss-workshops/masterclass-series-ongoing/introduction-to-hydrodynamic-stability/?v=c86ee0d9d7ed>*
- *

*Rs. 1,299 onwards*

*Last day to register: June 12, 2025*
9. Digital System Design and Testing

*Registrations Open*
<https://elearn.nptel.ac.in/shop/iit-workshops/ongoing/digital-system-design-and-testing/?v=c86ee0d9d7ed>*
- *

*Rs. 1,500 onwards*

*Last day to register: June 25, 2025*
­

Follow Us:
<https://www.facebook.com/NPTELNoc/> ­
<https://twitter.com/nptel_official?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor>
­

<https://www.youtube.com/user/nptelhrd> ­
<https://www.instagram.com/nptel_india/> ­

*NPTEL Administrator,*
IC & SR, 3rd floor
IIT Madras, Chennai - 600036

Thanks and Regards,
NPTEL TEAM.

-- 
To unsubscribe from this group and stop receiving emails from it:
Log in to Google Groups and click on My Groups seen in the left navigation pane. You will see the list of your groups. Choose the group ""NPTEL Newsletter""
Click the Leave Group icon on the right side to leave the group or you can choose the ""No email"" option under Subscription to stop receiving these emails.
To unsubscribe from this group and stop receiving emails from it, send an email to newsletter-announce+unsubscribe@nptel.iitm.ac.in.
"
142,197206b8533dcbb0,197206b8533dcbb0,Sneha N <univ_manager@emertxe.com>,Missed the webinar - Decoding Career Paths? Here’s your chance to catch up,2025-05-30 02:00:02-07:00,"['CATEGORY_PROMOTIONS', 'IMPORTANT', 'INBOX']","Hello Anand Chaniyara, You signed up for our recent Emertxe webinar on Decoding Career Paths but couldn&#39;t make it. We get it—No Worries. That&#39;s why we&#39;re sending you the full recorded","*Hello *Anand Chaniyara*, *

*You signed up for our recent Emertxe webinar on Decoding Career 
Pathsbut couldn’t make it.*

*We get it—No Worries. That’s why we’re sending you the full recorded 
session, along with a quick takeaway of what you missed.*

*Webinar was delivered by Jayakumar Balasubramanian, Director- Emertxe, 
who has vast technology experience building world class products for 
companies like HP, Huawei…*

*Here’s what the session helped students uncover:1. Discover your 
strengths through a simple personality test2. Understand the difference 
between a job vs a career3. Choose between IT or Corewith confidence4. 
Build real-world skills and portfoliosthat companies want5. Learn how to 
navigate recession-era job challengeswith a clear plan*

* Watch the full recorded webinar - 
**https://www.youtube.com/watch?v=9JoSEtsnHzk**Further, Watch your peer 
Raghuram from the 2024 batch,how he prepared right from college and 
landed in Altera - An Intel company - 
*https://www.youtube.com/watch?v=0Ym_bkE1BSs**

*Watch more such stories here - 
*https://www.youtube.com/playlist?list=PLUQxBqc5d3HNCHjCRoNEnVuR013EO2pEy**

*

Sometimes the right information at the right time can completely shift 
your future.  This could be that moment.


Stay Tuned for More :)

*
-- 

Regards,
Sneha N| Manager - University Relations & Internships,
Emertxe Information Technologies,
#83 Farah Towers, 1st Floor,
MG Road,
Bangalore - 560001
"
